Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0  119  3231  3502  3913   10646   1928  2381  2744    7053     1303  1121  1169    3593              0           0
 0  120  6506  3220  3640   13366   3613  2208  2561    8382     2893  1012  1079    4984              0           0
 0  121  5280  3759  4193   13232   2810  2557  2963    8330     2470  1202  1230    4902             19        2578
 0  122  3835  3729  4137   11701   2179  2516  2929    7624     1656  1213  1208    4077             19        2236
 0  123  3243  3420  3819   10482   1992  2316  2712    7020     1251  1104  1107    3462              0           0
 0  124  6459  3168  3562   13189   3682  2145  2531    8358     2777  1023  1031    4831              0           0
 0  125  5296  3725  4213   13234   2885  2518  3000    8403     2411  1207  1213    4831             19        2581
 0  126  3863  3765  4172   11800   2157  2575  2948    7680     1706  1190  1224    4120             19        2229
 0  127  3293  3477  3832   10602   1981  2395  2712    7088     1312  1082  1120    3514              0           0
 0  128  6392  3184  3555   13131   3604  2198  2514    8316     2788   986  1041    4815              0           0
 0  129  5203  3754  4182   13139   2823  2577  2944    8344     2380  1177  1238    4795             19        2539
 0  130  3805  3766  4126   11697   2141  2579  2909    7629     1664  1187  1217    4068             21        2137
 0  131  3209  3474  3843   10526   1954  2398  2715    7067     1255  1076  1128    3459              0           0
 0  132  6529  3200  3563   13292   3674  2223  2528    8425     2855   977  1035    4867              0           0
 0  133  5369  3729  4191   13289   2891  2552  2978    8421     2478  1177  1213    4868             19        2596
 0  134  3883  3779  4116   11778   2164  2570  2928    7662     1719  1209  1188    4116             20        2229
 0  135  3313  3467  3759   10539   1988  2363  2678    7029     1325  1104  1081    3510              0           0
 0  136  6490  3202  3484   13176   3727  2206  2496    8429     2763   996   988    4747              0           0
 0  137  5219  3829  4123   13171   2820  2659  2930    8409     2399  1170  1193    4762             20        2600
 0  138  3806  3807  4089   11702   2164  2621  2899    7684     1642  1186  1190    4018             19        2173
 0  139  3235  3478  3783   10496   1970  2405  2688    7063     1265  1073  1095    3433              0           0
 0  140  6345  3185  3509   13039   3669  2211  2501    8381     2676   974  1008    4658              0           0
 0  141  5134  3759  4134   13027   2837  2610  2949    8396     2297  1149  1185    4631             19        2514
 0  142  3776  3711  4076   11563   2189  2542  2894    7625     1587  1169  1182    3938             19        2159
 0  143  3229  3406  3758   10393   2005  2341  2663    7009     1224  1065  1095    3384              0           0
 0  144  6513  3144  3505   13162   3688  2187  2502    8377     2825   957  1003    4785              0           0
 0  145  5299  3693  4107   13099   2895  2557  2955    8407     2404  1136  1152    4692             19        2606
 0  146  3821  3745  4017   11583   2159  2608  2879    7646     1662  1137  1138    3937             17        2258
 0  147  3288  3447  3694   10429   1979  2408  2644    7031     1309  1039  1050    3398              0           0
